Index	Link	Playlist ID	Essential/Optional (E/O)
Video 2	/v/adding-mixed-numbers-with-unlike-denominators/	g5_p16	E
Video 3	/v/adding-mixed-numbers-word-problem/	g5_p16	E
Video 4	/v/subtracting-mixed-numbers/	g5_p16	E
Video 5	/v/subtracting-mixed-numbers-2/	g5_p16	E
Video 6	/v/subtracting-mixed-numbers-word-problem/	g5_p16	E
Video 7	/v/adding-subtracting-mixed-numbers-0-5--ex-1/	g5_p16	E
Video 8	/v/adding-subtracting-mixed-numbers-0-5--ex-2/	g5_p16	E
Video 9	/v/adding-subtracting-mixed-numbers-1--ex-1/	g5_p16	E
Video 10	/v/adding-subtracting-mixed-numbers-1--ex-2/	g5_p16	E
Exercise 1	e/adding_subtracting_mixed_numbers_0.5/	g5_p16	E
Exercise 2	e/adding_subtracting_mixed_numbers_1/	g5_p16	E
Video 13	/v/multiplying-fractions-and-mixed-numbers/	g5_p16	E
Video 14	/v/multiplying--mixed-numbers/	g5_p16	E
Exercise 3	/e/multiplying_mixed_numbers_1/	g5_p16	E
	Quiz 10	g5_p16

Playlist 17 - Conceptualizing Decimals and place notation, Decimals and fractions, Regrouping and comparing		g5_p17

	Subtitle : Week 22	g5_p17
Video 1	/v/decimal_place_value/	g5_p17	E
Video 2	/v/decimal-place-value-2/	g5_p17	E
Video 3	/v/writing-out-a-decimal-in-words/	g5_p17	E
Video 4	/v/expanding-out-a-decimal-by-place-value/	g5_p17	E
Video 5	/v/writing-a-decimal-to-represent-a-quantity/	g5_p17	E
Video 6	/v/comparing-place-values-in-decimals/	g5_p17	E
Video 7	/v/understanding-decimal-place-value-exercise/	g5_p17	E
Exercise 1	/e/understanding_decimals_place_value/	g5_p17	E
	Unit Test 4		g5_p13, g5_p14,g5_p15,g5_p16


Playlist 18 - Decimal Operations : Addition and Subtraction and Multiplication of Decimals  		g5_p18

	Subtitle : Week 23	g5_p18
Video 1	/v/adding-decimals-example-1	g5_p18	E
Video 2	/v/adding-decimals-example-2/	g5_p18	E
Video 3	/v/adding-decimals/	g5_p18	E
Video 4	/v/subtracting-decimals/	g5_p18	E
Video 5	/v/adding-decimals-word-problem/	g5_p18	E
Video 6	/v/subtracting-decimals-word-problem/	g5_p18	E
Video 7	/v/subtracting-decimals--old/	g5_p18	E
Exercise 1	/e/adding_decimals_0.5/	g5_p18	E
Exercise 2	/e/adding_decimals/	g5_p18	E
Exercise 3	/e/adding_decimals_2/	g5_p18	E
Exercise 4	/e/subtracting_decimals_0.5/	g5_p18	E
Exercise 5	/e/subtracting_decimals/	g5_p18	E
Video 8	/v/multiplying-decimals/	g5_p18	E
Video 9	/v/mulitplyling-decimals-3/	g5_p18	E
Video 10	/v/mulitplication-8--multiplying-decimals--old-video/	g5_p18
	Quiz 11	g5_p17, g5_p18

Playlist 19 - Conversion of Decimals		g5_p19
	Subtitle : Week 24	g5_p19
Video 1	/v/converting-fractions-to-decimals-example/	g5_p19	E
Video 2	/v/converting-fractions-to-decimals--ex1/	g5_p19	E
Video 3	/v/converting-fractions-to-decimals--ex2/	g5_p19	E
Video 4	/v/converting-fractions-to-decimals/	g5_p19	E
Video 5	/v/representing-a-number-as-a-decimal--percent--and-fraction-2/	g5_p19	E
Video 6	/v/representing-a-number-as-a-decimal--percent--and-fraction/	g5_p19	E
Exercise 1	/e/converting_fractions_to_decimals/	g5_p19	E
		g5_p19	E
Video 7	/v/converting-decimals-to-fractions-1--ex-2/	g5_p19	E
Video 8	/v/converting-decimals-to-fractions-1--ex-3/	g5_p19	E
Video 9	/v/converting-decimals-to-fractions-2--ex-1/	g5_p19	E
Video 10	/v/converting-decimals-to-fractions-2--ex-2/	g5_p19	E
Exercise 2	e/converting_decimals_to_fractions_1/	g5_p19	E
Exercise 3	/e/converting_decimals_to_fractions_2/	g5_p19	E
Video 11	/v/ordering-numeric-expressions_DUP_3/	g5_p19	E
Video 12	/v/adding-decimals-example-1	g5_p19	E
Video 13	/v/converting-a-fraction-to-a-repeating-decimal/	g5_p19	E
Video 14	/v/regrouping-with-decimalsregrouping-with-decimals/	g5_p19	E
Video 15	/v/regrouping-with-decimals-example	g5_p19	E
Video 16	/v/regrouping-decimals-example-2	g5_p19	E
	Quiz 12	g5_p19
Playlist 20: Measuring Angles		g5_p20

Video 1	/v/angle-basics/	g5_p20	E
Video 2	/v/measuring-angles-in-degrees/	g5_p20	E
Video 3	/v/using-a-protractor/	g5_p20	E
Video 4	/v/measuring-angles/	g5_p20	E
